Numero;Nombre de la Licitacion;Comprador;Estado;Fecha Cierre;mes_cierre;categoria
2792-79-LE16;ADQUISICION DE PARACETAMOL 500 MG COMPRIMIDO;Municipalidad de Huechuraba;Adjudicada;02-11-2016 15:10:00;11;Otros
2793-251-LE16;CONTRATACION DE ESPECTACULO PIROTECNICO AÑO NUEVO;Municipalidad de Huechuraba;Adjudicada;28-10-2016 15:34:00;10;Otros
2791-67-L116;TEXTOS PARA LA ESCUELA LAS CANTERAS FAEP 2016;Municipalidad de Huechuraba;Adjudicada;24-10-2016 15:08:00;10;Educación, Social y Eventos
2793-250-L116;RASURADORA Y CUCHILLAS PARA ZOONOSIS;Municipalidad de Huechuraba;Adjudicada;20-10-2016 15:53:00;10;Otros
2791-66-L116;TEXTOS PARA LA ESCUELA CARLOS PRATS FAEP 2016;Municipalidad de Huechuraba;Adjudicada;20-10-2016 13:14:00;10;Educación, Social y Eventos
2791-65-L116;TEXTOS PARA LA ESC. ADELAIDA LA FETRA FAEP 2016;Municipalidad de Huechuraba;Adjudicada;20-10-2016 11:27:00;10;Otros
2793-244-L116;Materiales el�ctricos  Programa Juntos + Seguros;Municipalidad de Huechuraba;Adjudicada;18-10-2016 10:30:00;10;Otros
2793-245-L116;ADQUISICION DE ALIMENTOS Y BEBIDAS;Municipalidad de Huechuraba;Adjudicada;18-10-2016 09:00:00;10;Educación, Social y Eventos
2793-240-L116;INDUMENTARIA USUARIOS PROGRAMA HUERTAS COMUNITARIA;Municipalidad de Huechuraba;Adjudicada;13-10-2016 20:26:00;10;Otros
2793-238-L116;MATERIALES DE CONSTRUCCION PARA RADIO COMUNITARIA;Municipalidad de Huechuraba;Adjudicada;13-10-2016 18:47:00;10;Obras e Infraestructura
2793-232-L116;HERRAMIENTAS DE JARDINER�A PARA HUERTAS COMUNITARI;Municipalidad de Huechuraba;Adjudicada;13-10-2016 14:16:00;10;Otros
2793-243-L116;Serv. Producci�n eventos CIERRE JUNTOS MAS SEGUROS;Municipalidad de Huechuraba;Adjudicada;13-10-2016 10:55:00;10;Educación, Social y Eventos
2793-242-LE16;Porta Pendones solicitado por Alcaldia;Municipalidad de Huechuraba;Adjudicada;13-10-2016 10:25:00;10;Otros
2792-73-L116;BRINZOLAMIDA / TIMOLOL SOLUCI�N OFT�LMICA;Municipalidad de Huechuraba;Adjudicada;13-10-2016 09:00:00;10;Otros
2792-72-L116;Latanoprost Soluci�n Oft�lmica;Municipalidad de Huechuraba;Adjudicada;12-10-2016 09:01:00;10;Otros
2793-239-L116;ARTICULOS DE ASEO PARA UNIDAD DE PROTECCION SOCIAL;Municipalidad de Huechuraba;Adjudicada;11-10-2016 20:16:00;10;Servicios y Mantención
2791-63-L116;materiales programa mujer trabaja tranquila 4 a 7;Municipalidad de Huechuraba;Adjudicada;11-10-2016 17:42:00;10;Otros
2793-231-L116;MATERIAL DE CONSTRUCCION PARA OFICINA PROT. SOCIAL;Municipalidad de Huechuraba;Adjudicada;11-10-2016 15:01:00;10;Obras e Infraestructura
2793-229-L116;ADQUISICION DE PINTURAS Y OVILLOS DE LANA - Readjudicada en Id 2793-229-R116;Municipalidad de Huechuraba;Adjudicada;06-10-2016 16:00:00;10;Otros
2791-58-L116;MASTERIAL DE FERRETERIA ESCUELAS;Municipalidad de Huechuraba;Adjudicada;06-10-2016 13:08:00;10;Educación, Social y Eventos
2791-57-L116;MATERIALES DE LABORATIO CEH FAEP 2016;Municipalidad de Huechuraba;Adjudicada;05-10-2016 12:18:00;10;Otros
2791-56-L116;SALIDAS EDUCATIVAS ESCUELA ERNESTO YA�EZ;Municipalidad de Huechuraba;Adjudicada;04-10-2016 20:22:00;10;Educación, Social y Eventos
2791-53-L116;jornada ernesto ya�ez;Municipalidad de Huechuraba;Adjudicada;04-10-2016 18:47:00;10;Otros
2793-227-L116;PINTURA SPRAY Y OTROS MATERIALES PARA TALLERES NNA;Municipalidad de Huechuraba;Adjudicada;03-10-2016 19:38:00;10;Educación, Social y Eventos
2791-52-LE16;material deportivo escuelas programa faep 2016;Municipalidad de Huechuraba;Adjudicada;03-10-2016 16:23:00;10;Educación, Social y Eventos
2791-50-LE16;Materiales Depto. de Mantenci�n;Municipalidad de Huechuraba;Adjudicada;30-09-2016 16:22:00;9;Servicios y Mantención
2792-70-L116;MANTENCION MENSUAL DE ASCENSOR DEL CESFAM EL BARRERO, COMUNA DE HUECHURABA;Municipalidad de Huechuraba;Adjudicada;30-09-2016 11:00:00;9;Servicios y Mantención
2792-69-L116;ARRIENDO DE GENERADOR ELECTRICO;Municipalidad de Huechuraba;Adjudicada;29-09-2016 09:00:00;9;Otros
2793-226-L116;INSECTICIDA POUR ON PARA HIGIENE AMB. Y ZOONOSIS;Municipalidad de Huechuraba;Adjudicada;28-09-2016 18:55:00;9;Otros
2793-225-L116;SERVICIO DE BANQUETER�A PROG JUNTOS MAS SEGUROS;Municipalidad de Huechuraba;Adjudicada;27-09-2016 12:04:00;9;Otros
2792-68-L116;Vales de Recarga de Agua Purificada para Jardines Infantiles de la Comuna de Huechuraba;Municipalidad de Huechuraba;Adjudicada;23-09-2016 09:01:00;9;Otros
2793-223-L116;MATERIALES DE CONSTRUCCION PARA DIDECO;Municipalidad de Huechuraba;Adjudicada;22-09-2016 17:36:00;9;Obras e Infraestructura
2793-224-L116;Arriendo de sal�n para capacitaci�n;Municipalidad de Huechuraba;Adjudicada;22-09-2016 09:00:00;9;Otros
2793-222-L116;TROFEOS Y MEDALLAS PARA DEPTO. DEPORTES Y RECREAC.;Municipalidad de Huechuraba;Adjudicada;21-09-2016 16:30:00;9;Otros
2791-51-L116;salidas educativas carlos prats;Municipalidad de Huechuraba;Adjudicada;20-09-2016 18:14:00;9;Otros
2793-221-L116;Maletas para Secmun;Municipalidad de Huechuraba;Adjudicada;20-09-2016 15:07:00;9;Otros
2792-65-L116;Medicamentos Oftalmol�gicos para UAPO, Septiembre 2016;Municipalidad de Huechuraba;Adjudicada;20-09-2016 15:01:00;9;Salud
2792-66-L116;MOBILIARIO PARA ACTIVIDADES DE PROMOCI�N DE SALUD;Municipalidad de Huechuraba;Adjudicada;20-09-2016 15:01:00;9;Salud
2793-220-L116;MATERIALES DE OFICINA JUNTOS MAS SEGUROS;Municipalidad de Huechuraba;Adjudicada;13-09-2016 20:06:00;9;Otros
2793-213-LE16;MATERIALES DE CONSTRUCCION REPARACION DE VIVIENDAS;Municipalidad de Huechuraba;Adjudicada;12-09-2016 16:14:00;9;Obras e Infraestructura
2791-49-L116;SALIDAS EDUCATIVAS AMBIENTAL;Municipalidad de Huechuraba;Adjudicada;12-09-2016 15:36:00;9;Otros
2793-217-L116;SERVICIO DE ARRIENDO DE M�VIL;Municipalidad de Huechuraba;Adjudicada;12-09-2016 15:01:00;9;Otros
2792-61-LE16;SERVICIO DE OXIGENO MEDICINAL PARA LOS ESTABLECIMIENTOS DE SALUD DE HUECHURABA;Municipalidad de Huechuraba;Adjudicada;12-09-2016 15:01:00;9;Salud
2791-48-L116;MATERIALES ESPECIALIDAD DE REDES;Municipalidad de Huechuraba;Adjudicada;07-09-2016 20:15:00;9;Otros
2793-215-L116;LAPTOP HP 240 G4 I3-5005U 4GB1TB 14 PROGRAMA NNA;Municipalidad de Huechuraba;Adjudicada;07-09-2016 19:22:00;9;Otros
2792-64-L116;ADQUISICI�N DE BODEGA PARA CESFAM LA PINCOYA;Municipalidad de Huechuraba;Adjudicada;07-09-2016 09:00:00;9;Otros
2793-212-L116;MATERIALES DE ESCRITORIO PARA OF DERECHOS CIUDADAN;Municipalidad de Huechuraba;Adjudicada;06-09-2016 17:50:00;9;Otros
2793-211-L116;BEBIDAS Y ALIMENTOS TALLERES PROG JUNTOS MAS SEGUR;Municipalidad de Huechuraba;Adjudicada;06-09-2016 13:16:00;9;Educación, Social y Eventos
2793-210-L116;CARTRIDGE PARA LICENCIAS DE CONDUCIR;Municipalidad de Huechuraba;Adjudicada;06-09-2016 12:22:00;9;Otros
2792-62-L116;Servicio de Catering Celebraci�n Semana de la Chilenidad, �rea de Salud de Huechuraba;Municipalidad de Huechuraba;Adjudicada;06-09-2016 09:01:00;9;Salud
2792-63-L116;Lens�metro Digital para Unidad de Atenci�n Primaria Oftalmol�gica (UAPO);Municipalidad de Huechuraba;Adjudicada;06-09-2016 09:01:00;9;Otros
2793-209-L116;MATERIALES TALLER DE TELARES PROG JUNTOS MAS SEGUR;Municipalidad de Huechuraba;Adjudicada;05-09-2016 15:01:00;9;Educación, Social y Eventos
2791-42-L116;Insumos para Programa Habilidadades para la Vida;Municipalidad de Huechuraba;Adjudicada;31-08-2016 18:56:00;8;Otros
2791-46-L116;delantales personal salas cuna;Municipalidad de Huechuraba;Adjudicada;31-08-2016 14:49:00;8;Otros
2791-43-L116;SALIDAS EDUCATIVAS SEPTIEMBRE ESCUELA CARLO PRATS;Municipalidad de Huechuraba;Adjudicada;31-08-2016 11:50:00;8;Educación, Social y Eventos
2793-134-LR16;SERV ASEO INTERIOR, EXTERIOR Y MANT DE JARDINES;Municipalidad de Huechuraba;Adjudicada;30-08-2016 15:00:00;8;Servicios y Mantención
2793-192-LE16;INSUMOS CENTRO ESTERILIZACION DE MASCOTAS;Municipalidad de Huechuraba;Adjudicada;29-08-2016 17:24:00;8;Otros
2791-39-LE16;salidas educativas en terreno centro educacional;Municipalidad de Huechuraba;Adjudicada;29-08-2016 15:11:00;8;Otros
2793-193-L116;PRODUCCI�N EVENTO 3� CROSS COUNTRY HUCHURABA 2016;Municipalidad de Huechuraba;Adjudicada;29-08-2016 15:07:00;8;Educación, Social y Eventos
2793-194-L116;Materiales de oficina para Stock de Bodega;Municipalidad de Huechuraba;Adjudicada;29-08-2016 15:01:00;8;Otros
2791-38-LE16;SALIDAS EDUCATIVAS FIN DE A�O ADELAIDA LA FETRA;Municipalidad de Huechuraba;Adjudicada;26-08-2016 16:37:00;8;Otros
2791-41-L116;Material escolar Esc. Santa Victoria Sep;Municipalidad de Huechuraba;Adjudicada;25-08-2016 18:17:00;8;Otros
2791-40-L116;Material par Esc. Santa Victoria Sep;Municipalidad de Huechuraba;Adjudicada;25-08-2016 12:49:00;8;Otros
2791-36-L116;Material taller teatral Esc. Santiago de Guayaquil;Municipalidad de Huechuraba;Adjudicada;24-08-2016 15:42:00;8;Educación, Social y Eventos
2791-35-L116;Material taller teatral Esc. las canteras;Municipalidad de Huechuraba;Adjudicada;24-08-2016 15:34:00;8;Educación, Social y Eventos
2791-32-L116;Material taller teatral Esc. Adelaida La Fetra;Municipalidad de Huechuraba;Adjudicada;24-08-2016 15:11:00;8;Educación, Social y Eventos
2791-31-L116;Material Programa Teatral Ernesto Ya�ez;Municipalidad de Huechuraba;Adjudicada;24-08-2016 14:07:00;8;Otros
2792-58-LE16;Fiesta Navide�a Para Hijos De Afiliados Del Servicio De Bienestar Salud;Municipalidad de Huechuraba;Adjudicada;23-08-2016 09:00:00;8;Salud
2792-59-LE16;Programa Piloto de Acompa�amiento para Ni�os, Ni�as, Adolescentes y J�venes de Familias con Alto Riesgo Psicosocial en APS;Municipalidad de Huechuraba;Adjudicada;23-08-2016 09:00:00;8;Otros
2791-37-L116;SALIDAS EDUCATIVAS SEPTIEMBRE Y OCTUBRE ADELAIDA L;Municipalidad de Huechuraba;Adjudicada;22-08-2016 20:11:00;8;Otros
2791-30-LE16;alimentos especialidad de alimentacion;Municipalidad de Huechuraba;Adjudicada;22-08-2016 18:43:00;8;Educación, Social y Eventos
2793-187-L116;ADQUISICION DE TONER Y C.D. PARA STOCK BODEGA;Municipalidad de Huechuraba;Adjudicada;22-08-2016 15:01:00;8;Tecnología e Insumos
2791-28-L116;Material Fungible y escritorio CEH SEP 2016;Municipalidad de Huechuraba;Adjudicada;18-08-2016 14:21:00;8;Otros
2791-29-L116;mat. para taller Psicoeducativos Ernesto Ya�ez Sep;Municipalidad de Huechuraba;Adjudicada;17-08-2016 17:21:00;8;Educación, Social y Eventos
2793-186-L116;Materiales de construcci�n para DIDECO;Municipalidad de Huechuraba;Adjudicada;16-08-2016 20:34:00;8;Obras e Infraestructura
2791-27-LE16;expresarte;Municipalidad de Huechuraba;Adjudicada;12-08-2016 19:53:00;8;Otros
2793-185-L116;PINTURA SPRAY Y OTROS MATERIALES PARA TALLERES;Municipalidad de Huechuraba;Adjudicada;10-08-2016 18:14:00;8;Educación, Social y Eventos
2791-24-L116;Material Bibliogr�fico para el CEH SEP;Municipalidad de Huechuraba;Adjudicada;10-08-2016 12:53:00;8;Otros
2793-148-L116;PROY C�LCULO EST, REP SEDE SOCIAL SANTA VICTORIA;Municipalidad de Huechuraba;Adjudicada;05-08-2016 11:00:00;8;Otros
2793-176-L116;Compra de mobiliario;Municipalidad de Huechuraba;Adjudicada;04-08-2016 13:32:00;8;Otros
2793-182-L116;INSUMOS DE LIBRERIA Y MATERIALES DIDACTICOS;Municipalidad de Huechuraba;Adjudicada;04-08-2016 10:00:00;8;Otros
2792-54-L116;ADQUISICI�N DE FLEXIBLES TEFL�N MALLA PARA MANIFOLD DE OX�GENO;Municipalidad de Huechuraba;Adjudicada;04-08-2016 09:01:00;8;Otros
2792-53-L116;ADQUISICION DE LOSARTAN 50 MG COMPRIMIDO;Municipalidad de Huechuraba;Adjudicada;04-08-2016 09:00:00;8;Otros
2793-180-L116;PROVISI�N E INSTALACI�N DE IONIZADOR PARA PISCINA;Municipalidad de Huechuraba;Adjudicada;03-08-2016 19:13:00;8;Otros
2792-52-L116;INSUMOS M�DICOS - JULIO 2016;Municipalidad de Huechuraba;Adjudicada;03-08-2016 09:01:00;8;Otros
2793-178-L116;BEBIDAS Y ALIMENTOS PARA TALLERES Y ACT COMUNIT;Municipalidad de Huechuraba;Adjudicada;02-08-2016 19:50:00;8;Educación, Social y Eventos
